date,open,high,low,adjClose,value,volume,count,yesterday,close,rsi_14,rsi_7,stoch_k,stoch_d,williams_r,roc_10,roc_20,macd_diff,macd_norm,adx,di_plus,di_minus,di_diff,cci,price_to_sma10,price_to_sma20,price_to_sma50,price_to_ema12,price_to_ema26,sma10_to_sma50,bb_pband,bb_wband,atr_pct,daily_range_pct,volatility_20,volatility_10,volatility_5,vol_ratio_5_20,volume_ratio_20,volume_ratio_5,obv_slope,mfi,avg_trade_value,avg_trade_value_ratio,trade_count_ratio,body_ratio,upper_shadow,lower_shadow,gap_pct,ret_1d,ret_2d,ret_3d,ret_5d,ret_10d,ret_20d,ret_zscore,pct_from_52w_high,pct_from_52w_low,up_streak,down_streak,rsi_14_lag1,rsi_14_lag2,rsi_14_lag3,rsi_14_lag5,macd_diff_lag1,macd_diff_lag2,macd_diff_lag3,macd_diff_lag5,volume_ratio_20_lag1,volume_ratio_20_lag2,volume_ratio_20_lag3,volume_ratio_20_lag5,ret_1d_lag1,ret_1d_lag2,ret_1d_lag3,ret_1d_lag5,adx_lag1,adx_lag2,adx_lag3,adx_lag5,future_return,signal,signal_class
2001-11-04,32802.0,32802.0,32801.0,32801.0,65602500,2000,2,32801.0,32801.0,86.16539812507244,98.10575563314302,99.9286733238231,99.97622444127437,-0.07132667617689016,2.5031250000000003,4.465110353832925,87.75428505943714,0.009146443271922516,30.692740580822505,79.56120270394518,17.115974254323337,62.44522844962185,176.14035795854141,1.0174796432725863,1.0269969864193182,1.0322544505174962,1.0167967561616131,1.0263418107966533,1.014520985596713,0.9815131074658644,5.606698135674761,0.003161194984196058,3.048687540014024e-05,0.00688478960455479,0.007960849782469054,0.011248574239570538,1.6338297734078595,0.77752940033045,0.9857072449482503,0.29269207466605107,34.96875273628072,32801250.0,1.2250646066315143,0.5633802816901409,1.0,0.0,0.0,3.048687540014024e-05,0.0,3.0487804878021052e-05,0.025191436161900338,0.025191436161900338,0.02503125000000006,0.04465110353832924,-0.3208125749917179,0.0,0.13106896551724137,0,0,86.16539812507244,86.15534138609519,69.6802921080209,69.6802921080209,78.52376583980919,54.46116424097053,9.134517037532532,22.69290548353166,0.9754574895626048,1.2262916939175932,0.9785568413886998,1.3313756396692074,3.0487804878021052e-05,0.025160181278324645,0.0,0.0,28.085144522391698,25.278891737251723,22.258565698608994,20.979307791296897,0.006066888204627974,0,2.0
2001-11-14,32900.0,33001.0,32900.0,33001.0,92680800,2810,6,32801.0,33001.0,88.42688436036438,98.7011484675198,100.0,99.91749174917493,-0.0,3.1442412877012034,5.098726114649681,81.6124748790802,0.01078709561057264,37.829967527466955,82.54265753439097,14.619227338193014,67.92343019619796,133.7485800627213,1.0154622521039434,1.026185597144181,1.0359390911385316,1.0153059535549769,1.0265489251515874,1.0201650420704091,0.9304706281552766,6.083015990288501,0.002948577863778434,0.003060513317778249,0.006917367466252958,0.007974399758497489,0.0027234523892272493,0.39371226156682776,1.0827473268471246,1.75625,0.19848161564035127,31.881231346786564,15446800.0,0.5875845251561345,1.6901408450704227,1.0,0.0,0.0,0.003018200664613884,0.006097375080027945,0.006097375080027945,0.006097375080027945,0.0061280487804877826,0.031442412877012105,0.050987261146496765,0.518314470007008,0.0,0.13796551724137932,1,0,86.16539812507244,86.16539812507244,86.16539812507244,86.15534138609519,79.84013821881194,87.00445355224426,87.75428505943714,54.46116424097053,0.0805234021137393,0.19240208108373416,0.77752940033045,1.2262916939175932,0.0,0.0,0.0,0.025160181278324645,35.36246617525726,33.11407977793682,30.692740580822505,25.278891737251723,-3.030211205723443e-05,0,2.0
2001-12-30,33219.0,33219.0,33000.0,33000.0,4258095,129,5,33000.0,33000.0,88.34911935691507,98.52050966608678,82.1078431372549,93.96971156426254,-17.892156862745097,0.6097560975609756,3.125,25.614649134268177,0.011055326646890039,48.17580872715521,85.76814054793638,11.86474136435403,73.90339918358235,84.11527534282335,1.0024149086435503,1.0154189834117462,1.0324973859043456,1.006568904610245,1.0178959983833231,1.0300100058383035,0.7723849177390811,5.660733178522045,0.002511281620794108,0.006636363636363636,0.005720977680498087,0.0019282060128791294,1.3551516484318599e-05,0.0023687413657483033,0.05572354211663067,0.12311509830120253,0.08775307415227918,95.71948492588436,851619.0,0.032325506176594576,1.5873015873015874,1.0,0.0,0.0,0.006636363636363636,0.0,0.0,0.0,-3.030211205723443e-05,0.0060975609756097615,0.03125,-0.27181967775763427,-3.0302112057210386e-05,0.13793103448275862,0,0,88.34911935691507,88.34911935691507,88.34911935691507,88.42688436036438,39.27689379945048,52.94857168214514,65.6346754800507,81.6124748790802,0.22930373100743628,0.9008648302370276,0.762896078923167,1.0827473268471246,0.0,0.0,0.0,0.006097375080027945,46.05893295172622,44.224428939844174,42.24880923474042,37.829967527466955,-0.613030303030303,0,0.0
2002-06-12,13000.0,13000.0,12500.0,12500.0,20062500,1565,3,33000.0,12500.0,3.258404681959391,1.2001268781154693,0.0,60.669479852908694,-100.0,-61.8914057498247,-60.9375,-1295.6459747605795,-0.10242770705900969,51.26200827978302,4.303581124214115,95.57764418094033,-91.2740630567262,-666.6666666666656,0.40465646284929946,0.3965245416969347,0.3958910938439252,0.4213872311495616,0.4039519663070262,0.9783387396221109,-0.5840927492440361,55.666404809356315,0.12329908465897528,0.04,0.13939025086946538,0.1966670438990783,0.2778145062954284,1.9930698493081345,0.6580468832124461,1.24127538071066,0.06639333974814887,90.9194294986633,6687500.0,0.25293609635036945,0.9375,1.0,0.0,0.0,-0.6060606060606061,-0.6212121212121212,-0.6212121212121212,-0.6212121212121212,-0.6212121212121212,-0.618914057498247,-0.609375,-4.2449639466909455,-0.6212235992848701,0.0,0,1,88.34911935691507,88.34911935691507,88.34911935691507,88.34911935691507,25.614649134268177,39.27689379945048,52.94857168214514,75.8798612947877,0.05572354211663067,0.22930373100743628,0.9008648302370276,0.2008637139700713,0.0,0.0,0.0,-3.030211205723443e-05,48.17580872715521,46.05893295172622,44.224428939844174,40.121218783090235,0.02167999999999992,0,3.0
2002-06-15,12500.0,12557.0,12500.0,12557.0,15329600,1225,3,12500.0,12557.0,3.536598960762916,1.515708647719137,0.2751098025966504,27.460984313283845,-99.72489019740335,-61.7176305600439,-60.759375000000006,-2052.3685108236728,-0.20308680433277318,54.12776500722315,4.291375922633138,95.3065805294851,-91.01520460685197,-334.5274289327508,0.4350100464213954,0.4110075527588436,0.4026553383177043,0.46452194760019183,0.42447747372946404,0.9256230784326552,-0.24691310115042486,78.85689062542444,0.11429652929546116,0.004539300788404874,0.13944477176535874,0.19683074001340356,0.2783313337650746,1.9959969114755898,0.5064076064489459,1.0738078541374474,0.05186274707340166,87.51898385996525,5109866.666666667,0.1926000191664321,0.9523809523809524,1.0,0.0,0.0,0.0,0.0045599999999998975,-0.6194848484848485,-0.6194848484848485,-0.6194848484848485,-0.617176305600439,-0.6075937499999999,0.24265902064777425,-0.6194963788976091,0.00456,1,0,3.258404681959391,88.34911935691507,88.34911935691507,88.34911935691507,-1295.6459747605795,25.614649134268177,39.27689379945048,65.6346754800507,0.6580468832124461,0.05572354211663067,0.22930373100743628,0.762896078923167,-0.6212121212121212,0.0,0.0,0.0,51.26200827978302,48.17580872715521,46.05893295172622,42.24880923474042,0.018077566297682646,0,3.0
2002-06-23,12659.0,12705.0,12659.0,12705.0,82398500,6500,5,12557.0,12705.0,4.306067547103638,2.4594960254954117,0.9894299917949708,0.42151326479720236,-99.01057000820504,-61.26642480412182,-60.29687500000001,-2405.095694193865,-0.2758096898012823,56.68083913029043,5.044396947176296,94.55672272296181,-89.51232577578551,-221.45953705956703,0.47307159559732503,0.42941156589042484,0.41250535721243137,0.5117222052858481,0.44843150519835207,0.8719723632774452,-0.09002458728217269,96.70587402770344,0.10572822701253934,0.0036206218024399843,0.1395998337319381,0.19727177765254325,0.27968360053851915,2.0034665734313997,2.412769116555308,3.265019087803898,0.13153177463811416,89.60654134628885,16479700.0,0.6205883495064604,1.5151515151515151,1.0,0.0,0.0,0.008122959305566616,0.011786254678665342,0.01639999999999997,-0.615,-0.615,-0.6126642480412183,-0.60296875,0.28993210531673186,-0.6150116663131421,0.0164,2,0,3.536598960762916,3.258404681959391,88.34911935691507,88.34911935691507,-2052.3685108236728,-1295.6459747605795,25.614649134268177,52.94857168214514,0.5064076064489459,0.6580468832124461,0.05572354211663067,0.9008648302370276,0.0045599999999998975,-0.6212121212121212,0.0,0.0,54.12776500722315,51.26200827978302,48.17580872715521,44.224428939844174,0.006375442739079196,0,2.0
2002-06-25,12772.0,12772.0,12770.0,12770.0,7216050,565,2,12705.0,12770.0,4.6933009036747535,3.015088805619797,1.3031516965104493,1.0940038933667922,-98.69684830348955,-61.304202902942336,-60.08751367401156,-2392.967612002658,-0.3690521321256177,61.19691061583645,5.435029807131112,94.16773079581162,-88.7327009886805,-132.47382768245419,0.559506127402656,0.46165915310670946,0.42497113058294594,0.5968760539317584,0.48913105694464326,0.7595468749480019,0.07089618680759913,125.4570177058553,0.09107435874452192,0.00015661707126076742,0.13966151536564514,0.1972355531241561,0.2802456181342574,2.006605881373632,0.33210874357090375,0.23829607760438634,0.16604814920544286,85.15944915341048,3608025.0,0.23407365090178786,0.625,1.0,0.0,0.0,0.005273514364423455,0.0051160960251870335,0.0051160960251870335,0.016962650314565675,-0.613030303030303,-0.6130420290294234,-0.6008751367401157,0.24015704942216584,-0.6130420290294234,0.0216,1,0,4.306067547103638,4.306067547103638,3.536598960762916,88.34911935691507,-2490.079190037557,-2405.095694193865,-2052.3685108236728,25.614649134268177,1.175640724194686,2.412769116555308,0.5064076064489459,0.05572354211663067,0.0,0.011786254678665342,0.0045599999999998975,0.0,59.05155081599577,56.68083913029043,54.12776500722315,48.17580872715521,0.0018010963194987628,0,2.0
2002-06-26,12772.0,12772.0,12771.0,12771.0,12771500,1000,2,12770.0,12771.0,4.699690214232973,3.025003168378987,1.3079781842753029,1.2001866241935695,-98.6920218157247,-61.3,-60.08438818565401,-2185.4433920673314,-0.3955549569591766,63.18903042997423,5.434311132105905,94.15527897885661,-88.72096784675071,-110.46821223958801,0.6139667705088266,0.4783163981887572,0.4303692191145804,0.636386304135227,0.5084071335149707,0.7009650029722468,0.12116244254925403,137.70641045247172,0.08457361150361915,7.830240388379923e-05,0.13966235528923251,0.19723922397843555,0.0048241571808357656,0.03454157114023475,0.574349549135604,0.4428697962798937,0.22145939584150653,82.47930788499718,6385750.0,0.41442773875437694,0.6153846153846154,1.0,0.0,0.0,0.00015661707126076742,7.83085356304003e-05,0.0051948051948051965,0.0051948051948051965,0.02167999999999992,-0.613,-0.60084388185654,0.20405637920600667,-0.6130117269173662,0.02168,2,0,4.6933009036747535,4.306067547103638,4.306067547103638,3.258404681959391,-2392.967612002658,-2490.079190037557,-2405.095694193865,-1295.6459747605795,0.33210874357090375,1.175640724194686,2.412769116555308,0.6580468832124461,0.0051160960251870335,0.0,0.011786254678665342,-0.6212121212121212,61.19691061583645,59.05155081599577,56.68083913029043,51.26200827978302,0.0017226528854434875,0,2.0
2002-06-29,13000.0,13010.0,12784.0,12784.0,297481350,22914,28,12771.0,12784.0,4.789050695834348,3.1751228827189806,1.3707225252183985,1.3272841353347122,-98.6292774747816,-61.26060606060606,-60.04375683700578,-1913.8465502375957,-0.4113342577483814,64.81288462185586,7.0096092976710604,92.57984695253423,-85.57023765486316,-94.17921547027515,0.6807531737241203,0.49667143886694887,0.4363110149418775,0.6747105510726648,0.5281361104752255,0.640923952737524,0.1620494737999808,148.93557550940204,0.07978815429256081,0.01767834793491865,0.13967344267734333,0.19727387074555364,0.0050334556276359355,0.036037313401543446,8.385267048469434,3.4740289274993175,0.631721099511541,93.83981424561642,10624333.92857143,0.7224093166312335,6.2921348314606735,0.9557522123893806,0.04424778761061947,0.0,0.017931250489390024,0.0010179312504894344,0.0010963194988253822,0.006218024399842648,0.018077566297682646,-0.6126060606060606,-0.6004375683700578,0.21040306675855464,-0.6126177994606224,0.02272,3,0,4.699690214232973,4.6933009036747535,4.306067547103638,3.536598960762916,-2185.4433920673314,-2392.967612002658,-2490.079190037557,-2052.3685108236728,0.574349549135604,0.33210874357090375,1.175640724194686,0.5064076064489459,7.83085356304003e-05,0.0051160960251870335,0.0,0.0045599999999998975,63.18903042997423,61.19691061583645,59.05155081599577,54.12776500722315,0.0007040050062578906,0,2.0
2002-06-30,12787.0,12787.0,12786.0,12786.0,51146000,4000,2,12784.0,12786.0,4.803839802668904,3.202018263075445,1.3803755007481056,1.353025403413931,-98.6196244992519,-61.25454545454545,-60.03750586029067,-1612.667736421267,-0.41924646264228815,66.32074922860308,7.008024190521918,92.55891155213754,-85.55088736161562,-82.898583550104,0.762987981715977,0.5160035352658915,0.44202569875046327,0.7103538982914466,0.5473467300363176,0.579335073871462,0.19613790783730511,159.28162058298656,0.07409417073467221,7.821054278116691e-05,0.13967511949331216,0.19727915192975157,0.0021868330289067,0.015656568162172996,1.3720244220347122,0.6561895075297746,0.5191891661698322,86.12698348317375,25573000.0,1.6278685411298406,0.449438202247191,1.0,0.0,0.0,0.00023466833541927409,0.00015644555694627194,0.001174536058256903,0.0012529365700861828,0.006375442739079196,-0.6125454545454545,-0.6003750586029066,0.20417675543147287,-0.612557195236508,0.02288,4,0,4.789050695834348,4.699690214232973,4.6933009036747535,4.306067547103638,-1913.8465502375957,-2185.4433920673314,-2392.967612002658,-2405.095694193865,8.385267048469434,0.574349549135604,0.33210874357090375,2.412769116555308,0.0010179312504894344,7.83085356304003e-05,0.0051160960251870335,0.011786254678665342,64.81288462185586,63.18903042997423,61.19691061583645,56.68083913029043,0.0005474737994681789,0,2.0
