date,open,high,low,adjClose,value,volume,count,yesterday,close,rsi,macd,macd_signal,bb_upper,bb_lower,sma_20,sma_50,volume_ratio,momentum_5,momentum_10,prev_day_change,high_52w,low_52w,dist_from_high,dist_from_low,price_to_sma20,price_to_sma50,future_return,signal
2003-04-19,16301.0,16380.0,16300.0,16380.0,287560942,17622,14,16200.0,16380.0,66.31593131722165,340.3657181055969,409.4198837436919,17207.73724481909,15149.762755180907,16178.75,14930.3,0.5283522348232155,0.02368601962377359,0.023749999999999938,0.011111111111111072,16920.0,6990.0,-0.031914893617021274,1.3433476394849786,1.0124391563007031,1.097097848000375,0.09523809523809534,1
2003-04-21,16386.0,16386.0,16381.0,16381.0,1701952234,103874,5,16380.0,16381.0,66.33262786198989,338.33762769450914,395.2034325338554,17188.945315015095,15271.654684984904,16230.3,14997.92,2.69589376713742,0.023748515717767704,0.05683870967741944,6.105006105006083e-05,16920.0,6990.0,-0.03185579196217494,1.3434907010014305,1.0092851025550975,1.0922181209127666,0.0988340150173983,1
2003-04-28,16501.0,16501.0,16501.0,16501.0,198012000,12000,2,16381.0,16501.0,68.35943410688742,342.4656180824677,384.6558696435779,17162.898760141044,15412.701239858954,16287.8,15065.44,0.3076493156725535,0.024906832298136727,0.0652679147837314,0.007325560100116091,16920.0,6990.0,-0.024763593380614658,1.3606580829756796,1.0130895516889942,1.095288288958039,0.14538512817405014,1
2003-04-29,16550.0,16550.0,16550.0,16550.0,16550000,1000,1,16501.0,16550.0,69.17545120713856,345.7058884082744,376.8658733965172,17187.98691089749,15430.813089102508,16309.4,15126.44,0.02567881959602081,0.02795031055900621,0.034375000000000044,0.0029695169989698567,16920.0,6990.0,-0.02186761229314421,1.3676680972818311,1.0147522287760433,1.0941107094597273,0.19909365558912384,1
2003-05-03,17500.0,17500.0,17500.0,17500.0,125405000,7166,4,16550.0,17500.0,79.96424574505973,420.0883692799671,385.5103725732072,17327.08102035004,15349.718979649959,16338.4,15206.64,0.18280192546599694,0.08024691358024683,0.093681644897194,0.05740181268882183,17500.0,6990.0,0.0,1.503576537911302,1.0710963129804631,1.1508130658712248,0.17142857142857149,1
2003-05-06,17501.0,17940.0,17500.0,17940.0,140455740,7850,5,17500.0,17940.0,82.9421704886578,508.67762501385914,410.1438230613376,17577.86916661746,15200.930833382541,16389.4,15295.44,0.19827287904849222,0.09523809523809534,0.12117992625460916,0.025142857142857133,17940.0,6990.0,0.0,1.5665236051502145,1.0946099308089374,1.1728985893835024,0.18729096989966565,1
2003-05-07,17940.0,18000.0,17940.0,18000.0,59916000,3332,5,17940.0,18000.0,83.30653639547654,577.0745903322786,443.52997651552585,17808.425333098403,15078.3746669016,16443.4,15375.44,0.08391890190152373,0.0988340150173983,0.12492969189425662,0.0033444816053511683,18000.0,6990.0,0.0,1.5751072961373391,1.0946641205590084,1.1706982044091097,0.22222222222222232,1
2003-05-11,18501.0,18900.0,18501.0,18900.0,37720200,2000,3,18000.0,18900.0,87.58902200664733,695.8804795095893,494.0000771143385,18270.39334108512,14814.506658914881,16542.45,15473.44,0.05024961496232535,0.14538512817405014,0.17391304347826098,0.050000000000000044,18900.0,6991.0,0.0,1.7034758975826063,1.1425151655286852,1.2214478487007414,0.16402116402116396,1
2003-05-24,19845.0,19845.0,19845.0,19845.0,26453385,1333,3,18900.0,19845.0,90.37971159526441,856.4163701241814,566.4833357163071,18937.725300097925,14441.274699902073,16689.5,15590.34,0.0334406628927804,0.19909365558912384,0.232608695652174,0.050000000000000044,19845.0,6991.0,0.0,1.8386496924617366,1.1890709727673088,1.2729036056942953,0.10859158478206088,1
2003-05-28,20500.0,20500.0,20500.0,20500.0,20500000,1000,2,19845.0,20500.0,91.76233479223453,1024.6833343364742,658.1233354403406,19682.624279869968,14106.375720130032,16894.5,15720.34,0.025118275680611077,0.17142857142857149,0.26543209876543217,0.033005794910556885,20500.0,6991.0,0.0,1.9323415820340437,1.213412649086981,1.3040430423260565,0.07317073170731714,1
