date,open,high,low,adjClose,value,volume,count,yesterday,close,rsi_14,rsi_7,stoch_k,stoch_d,williams_r,roc_10,roc_20,macd_diff,macd_norm,adx,di_plus,di_minus,di_diff,cci,price_to_sma10,price_to_sma20,price_to_sma50,price_to_ema12,price_to_ema26,sma10_to_sma50,bb_pband,bb_wband,atr_pct,daily_range_pct,volatility_20,volatility_10,volatility_5,vol_ratio_5_20,volume_ratio_20,volume_ratio_5,obv_slope,mfi,avg_trade_value,avg_trade_value_ratio,trade_count_ratio,body_ratio,upper_shadow,lower_shadow,gap_pct,ret_1d,ret_2d,ret_3d,ret_5d,ret_10d,ret_20d,ret_zscore,pct_from_52w_high,pct_from_52w_low,up_streak,down_streak,rsi_14_lag1,rsi_14_lag2,rsi_14_lag3,rsi_14_lag5,macd_diff_lag1,macd_diff_lag2,macd_diff_lag3,macd_diff_lag5,volume_ratio_20_lag1,volume_ratio_20_lag2,volume_ratio_20_lag3,volume_ratio_20_lag5,ret_1d_lag1,ret_1d_lag2,ret_1d_lag3,ret_1d_lag5,adx_lag1,adx_lag2,adx_lag3,adx_lag5,future_return,signal,signal_class
2025-07-08,9800.0,9800.0,9730.0,9798.0,51539250,5260,9,10028.0,9730.0,23.75288281395528,12.722170604155608,1.318781264211005,4.928458342580098,-98.68121873578899,-13.125,-15.611448395490028,-176.56160556171676,-0.03785227535967312,25.09370201530872,19.712763419721753,43.82205739710291,-24.109293977381157,-133.72730234900328,0.9404146329676702,0.8895512017626461,0.8845165067325069,0.9356787581152923,0.9036728612930063,0.9405601271231123,0.06195903720167704,25.21426250453322,0.027836164493630813,0.007194244604316547,0.016525741782977728,0.013660097664041984,0.014226184907985447,0.8608500056946956,0.03001101164495718,0.14094999222899285,-0.0005733193400321301,0.7589393621059912,5726583.333333333,0.07630551415266201,0.6451612903225806,1.0,0.0,0.0,-0.013091641490433032,-0.020140986908358527,-0.014184397163120588,-0.02709729027097285,-0.06532180595581172,-0.13124999999999998,-0.15611448395490024,-0.7153466827597504,-0.17890295358649788,0.0,0,1,26.189507679738654,24.01821478959154,25.54150314598742,30.889902154666615,-182.06328314361605,-193.83056677112842,-188.79948826127028,-152.27077420480165,0.027413672604869422,0.3849358664874029,0.002288545749685128,0.22305381324998722,0.006079027355623046,-0.013098690130986856,-0.007443429932512902,-0.027829660067239415,24.10501880667769,23.04028304353658,22.082814824486913,20.92539426680627,-0.013676260461318646,0,1.0
2025-07-09,9510.0,9550.0,9510.0,9520.0,47617139018,5001796,31,9798.0,9540.0,21.688461336570356,10.616510749895639,1.3831258644536653,4.371910531443633,-98.61687413554634,-12.477064220183486,-16.826503923278118,-174.23489924218538,-0.04292816118874575,26.40826847936747,18.554595078648905,47.12263546441689,-28.568040385767983,-134.31643375582283,0.9343323049801675,0.879943919716647,0.8682783514725236,0.9292146347394745,0.8935705731479979,0.9293035752316774,0.06110021322640567,27.353870724317247,0.028009856594784076,0.0041928721174004195,0.016693135599716833,0.013079004485961158,0.010780391087989885,0.6457978504753028,11.772894382450374,4.837377411678962,-0.01671759781014248,0.28070783022285184,1536036742.516129,10.143066329091996,2.0945945945945943,0.75,0.25,0.0,-0.022610483042137718,-0.019527235354573458,-0.0392749244712991,-0.033434650455927084,-0.053195712584358845,-0.12477064220183487,-0.16826503923278113,-0.6285045722538222,-0.1949367088607595,0.0,0,2,23.75288281395528,26.189507679738654,24.01821478959154,26.43273093101641,-176.56160556171676,-182.06328314361605,-193.83056677112842,-177.54027878677823,0.03001101164495718,0.027413672604869422,0.3849358664874029,0.04122317551234734,-0.020140986908358527,0.006079027355623046,-0.013098690130986856,-0.03208453410182521,25.09370201530872,24.10501880667769,23.04028304353658,21.450253700661985,0.028676470588235192,0,3.0
2025-07-12,9240.0,9652.0,9240.0,9615.0,14921468631,1551815,19,9520.0,9650.0,25.713901363753962,19.604166283871677,20.5,7.733969042888229,-79.5,-11.54903758020165,-15.72052401746725,-154.47775746569573,-0.04439346687363407,28.05565616148244,16.588961359810394,49.07309359190084,-32.484132232090445,-117.96275425320665,0.9569140760573157,0.8975408311321106,0.8791461077058751,0.9486964320746644,0.9103559503914597,0.9187304583585386,0.14268731297724557,28.674931674442515,0.028762268059845456,0.04269430051813471,0.017252811870921165,0.014680804116605595,0.014842867327675221,0.8603158394541011,3.091634150333292,1.1544962649230108,-0.011687032819812093,0.2549248699933173,785340454.2631578,4.123843955667625,1.2969283276450512,0.9951456310679612,0.0048543689320388345,0.0,-0.031446540880503145,0.011530398322851187,-0.008221993833504637,-0.028197381671701938,-0.03509649035096485,-0.11549037580201649,-0.15720524017467252,1.153563714851583,-0.18565400843881857,0.011530398322851153,1,0,21.688461336570356,23.75288281395528,26.189507679738654,25.54150314598742,-174.23489924218538,-176.56160556171676,-182.06328314361605,-188.79948826127028,11.772894382450374,0.03001101164495718,0.027413672604869422,0.002288545749685128,-0.019527235354573458,-0.020140986908358527,0.006079027355623046,-0.007443429932512902,26.40826847936747,25.09370201530872,24.10501880667769,22.082814824486913,0.03775351014040562,0,3.0
2025-07-13,9600.0,9800.0,9600.0,9757.0,95523250,9790,15,9615.0,9800.0,30.92792911042926,30.691364838756343,28.0,16.62770862148456,-72.0,-10.338517840805125,-15.151515151515152,-121.92646583787808,-0.043502783690022515,28.95814918631521,19.60165034514074,46.49794476961651,-26.89629442447577,-86.65255447629727,0.9828009828009828,0.9189711274275372,0.8933813206728438,0.9688922062647659,0.9297055736857548,0.9090154937846185,0.22106868452133657,29.049758157635402,0.02775675312031788,0.02040816326530612,0.017670349732687562,0.01663655823335863,0.017248229989209857,0.9761114097987067,0.01961854062305399,0.007446604272388417,-0.011152143762882982,0.35927770973998463,6368216.666666667,0.03402280295238507,1.0101010101010102,1.0,0.0,0.0,-0.0051813471502590676,0.015544041450777257,0.027253668763102645,0.007194244604316502,-0.007092198581560294,-0.10338517840805128,-0.1515151515151515,1.3341750666054453,-0.1729957805907173,0.027253668763102725,2,0,25.713901363753962,21.688461336570356,23.75288281395528,24.01821478959154,-154.47775746569573,-174.23489924218538,-176.56160556171676,-193.83056677112842,3.091634150333292,11.772894382450374,0.03001101164495718,0.3849358664874029,0.011530398322851187,-0.019527235354573458,-0.020140986908358527,-0.013098690130986856,28.05565616148244,26.40826847936747,25.09370201530872,23.04028304353658,0.01988316080762531,0,2.0
2025-07-14,9710.0,9710.0,9700.0,9700.0,263897150,27205,13,9757.0,9701.0,29.458318239668046,27.745139748348876,23.084626940410615,23.86154231347021,-76.91537305958938,-9.40418378782219,-17.085470085470085,-98.6751446544747,-0.04409285075172002,29.796178423659928,19.063002546450043,45.220194419376,-26.157191872925956,-80.58287966229747,0.9827977468898165,0.9182944202799089,0.8852747445287447,0.9651769520387632,0.9257782343572613,0.9007700183789643,0.21727633147543682,28.89944805345945,0.02677345743096071,0.0010308215647871354,0.01696505272581389,0.016292855130847887,0.01703357518177932,1.0040390358387254,0.054582436834447384,0.020622765835449055,-0.011255722268821988,0.35852927158860837,20299780.769230768,0.10853135732924866,0.896551724137931,0.9,0.0,0.1,-0.009183673469387756,-0.010102040816326485,0.0052849740932643385,0.016876310272536665,-0.02306143001007044,-0.09404183787822185,-0.1708547008547009,-0.0540104154225595,-0.18135021097046414,0.016876310272536686,0,1,30.92792911042926,25.713901363753962,21.688461336570356,26.189507679738654,-121.92646583787808,-154.47775746569573,-174.23489924218538,-182.06328314361605,0.01961854062305399,3.091634150333292,11.772894382450374,0.027413672604869422,0.015544041450777257,0.011530398322851187,-0.019527235354573458,0.006079027355623046,28.95814918631521,28.05565616148244,26.40826847936747,24.10501880667769,0.04123711340206193,0,3.0
2025-07-15,9900.0,9900.0,9650.0,9664.0,247440024,25604,24,9700.0,9650.0,28.70169661596981,26.231723741903735,20.530796194291437,23.871807711567357,-79.46920380570856,-7.300672430355427,-18.565400843881857,-79.18358897483688,-0.04435741831155516,29.76604729432758,22.985238828050445,42.10509711630172,-19.119858288251276,-71.30054429151656,0.9852166455670357,0.9230783947044954,0.8817310802439243,0.9660323648472376,0.9263381261221495,0.894961615002403,0.22373810014801948,27.843725586741698,0.026842938837829372,0.025906735751295335,0.01619497165858652,0.015016829656715929,0.01477636588119485,0.9124045532590029,0.051664069742054966,0.019349446284201984,-0.011321855143887283,0.6300089292017361,10310001.0,0.05573487108201675,1.6271186440677967,1.0,0.0,0.0,0.020513349139263993,-0.005257189980414356,-0.015306122448979553,0.0,-0.008221993833504637,-0.07300672430355426,-0.18565400843881852,0.2983917806370167,-0.18565400843881857,0.011530398322851153,0,2,29.458318239668046,30.92792911042926,25.713901363753962,23.75288281395528,-98.6751446544747,-121.92646583787808,-154.47775746569573,-176.56160556171676,0.054582436834447384,0.01961854062305399,3.091634150333292,0.03001101164495718,-0.010102040816326485,0.015544041450777257,0.011530398322851187,-0.020140986908358527,29.796178423659928,28.95814918631521,28.05565616148244,25.09370201530872,0.055463576158940375,1,4.0
2025-07-16,9600.0,9818.0,9600.0,9793.0,6120585,625,13,9664.0,9681.0,29.8806186273342,28.978964455477893,22.083124687030544,21.899515940577533,-77.91687531296945,-3.9202064311234617,-16.54310344827586,-57.65683718167901,-0.043480688380205475,29.85049866504402,21.58865820992453,40.94037147634367,-19.35171326641914,-68.74556990249239,0.9923836273615368,0.9346218454943909,0.8861165012997473,0.9737594384357263,0.9342054320253808,0.8929172921319517,0.2567963878223736,26.882065574692,0.02645422312634243,0.022518334882760047,0.0162375450626854,0.012524601237392552,0.01083985024166478,0.6675793785216484,0.001266993037315783,0.0019349377940718461,0.004973109406871679,0.6299838764848715,470814.23076923075,0.0025868152266307143,0.8695652173913044,0.37155963302752293,0.6284403669724771,0.0,-0.0051813471502590676,0.0032124352331606154,-0.002061643129574242,-0.012142857142857122,0.01477987421383653,-0.03920206431123463,-0.16543103448275864,0.7443611405020225,-0.1830379746835443,0.014779874213836478,1,0,28.70169661596981,29.458318239668046,30.92792911042926,21.688461336570356,-79.18358897483688,-98.6751446544747,-121.92646583787808,-174.23489924218538,0.051664069742054966,0.054582436834447384,0.01961854062305399,11.772894382450374,-0.005257189980414356,-0.010102040816326485,0.015544041450777257,-0.019527235354573458,29.76604729432758,29.796178423659928,28.95814918631521,26.40826847936747,0.04247932196466864,0,3.0
2025-07-19,9800.0,10031.0,9800.0,9978.0,2155146,216,3,9793.0,10031.0,41.61810502771561,52.35235295556053,53.88283378746594,32.165584889595976,-46.11716621253406,0.2999700029997,-13.896995708154506,-15.493685440582112,-0.03814642745766303,29.061283097239812,25.321794155826183,37.04829431141208,-11.726500155585896,-36.80761966685242,1.027945441316623,0.9760393101267363,0.9190593728297061,1.0075745158988239,0.9702813933098019,0.8940740781461589,0.40265531056405734,24.614275326268324,0.026199804485520412,0.023028611304954642,0.018935404177011138,0.017686182121956433,0.01854614270588231,0.9794426637271668,0.00043799248173738637,0.017023959646910468,-0.00013825753541019115,0.43146685122492556,718382.0,0.0039491231847284605,0.20761245674740486,1.0,0.0,0.0,0.012292118582791034,0.03615328994938549,0.039481865284973994,0.034017111637975495,0.039481865284973994,0.0029997000299970544,-0.13896995708154503,2.29386732999773,-0.15350210970464134,0.051467505241090145,2,0,29.8806186273342,28.70169661596981,29.458318239668046,25.713901363753962,-57.65683718167901,-79.18358897483688,-98.6751446544747,-154.47775746569573,0.001266993037315783,0.051664069742054966,0.054582436834447384,3.091634150333292,0.0032124352331606154,-0.005257189980414356,-0.010102040816326485,0.011530398322851187,29.85049866504402,29.76604729432758,29.796178423659928,28.05565616148244,0.026458208057726917,0,2.0
2025-07-20,9950.0,9952.0,9950.0,9951.0,15275300,1535,5,9978.0,9952.0,39.99090123437402,48.17711436697382,60.85470085470085,45.60688644306578,-39.14529914529915,0.8308004052684904,-14.772629956324398,10.051235374195869,-0.03562993209098582,28.328440069993047,24.735715641131982,36.1908033623756,-11.455087721243615,-31.704056886110898,1.0189934981825628,0.9765479344519674,0.9127712770543316,0.9996947554540269,0.9653112787199493,0.8957577047177582,0.39088234907221014,21.492458230751613,0.025102873107525542,0.00020096463022508038,0.018800120142139304,0.0173151871562308,0.019085681781126636,1.0151893518141548,0.0032963115669398203,0.13907764791157018,-0.00017537473422424288,0.5966399586922932,3055060.0,0.018086358514571316,0.37037037037037035,1.0,0.0,0.0,-0.00807496760043864,-0.007875585684378406,0.027992975932238373,0.0312953367875648,0.015510204081632617,0.008308004052684836,-0.147726299563244,-0.0044633490975574805,-0.16016877637130802,0.04318658280922432,0,1,41.61810502771561,29.8806186273342,28.70169661596981,30.92792911042926,-15.493685440582112,-57.65683718167901,-79.18358897483688,-121.92646583787808,0.00043799248173738637,0.001266993037315783,0.051664069742054966,0.01961854062305399,0.03615328994938549,0.0032124352331606154,-0.005257189980414356,0.015544041450777257,29.061283097239812,29.85049866504402,29.76604729432758,28.95814918631521,0.02964526178273541,0,3.0
2025-07-21,10199.0,10200.0,10000.0,10100.0,10107314100,1000727,15,9951.0,10001.0,41.51823443968182,51.00469707807957,79.27083333333333,64.66945599183337,-20.729166666666668,0.7150050352467271,-10.304932735426009,31.986816202985835,-0.03246243368562689,26.703343014593354,30.072283297739595,33.62471677382301,-3.552433476083415,-10.34252271834369,1.023266759433576,0.9869196875724697,0.9182744043749564,1.0039038229841486,0.9722199889638073,0.8973949323666708,0.43403533920578774,19.82927262877387,0.024966855537012188,0.019998000199980003,0.01679221319043609,0.017281067175501368,0.01758649087071673,1.0473003570924777,1.9412119803707584,4.8640040361346815,0.0031943155934726075,13.957427038884362,673820940.0,3.3316261757728634,1.0752688172043012,0.99,0.005,0.005,0.024819131832797426,0.004923633440514497,-0.0029907287409032257,0.033054436525152386,0.030924646943613965,0.0071500503524672965,-0.10304932735426009,0.6081719597011284,-0.1560337552742616,0.04832285115303983,1,0,39.99090123437402,41.61810502771561,29.8806186273342,29.458318239668046,10.051235374195869,-15.493685440582112,-57.65683718167901,-98.6751446544747,0.0032963115669398203,0.00043799248173738637,0.001266993037315783,0.054582436834447384,-0.007875585684378406,0.03615328994938549,0.0032124352331606154,-0.010102040816326485,28.328440069993047,29.061283097239812,29.85049866504402,29.796178423659928,-0.00990099009900991,0,1.0
