date,open,high,low,adjClose,value,volume,count,yesterday,close,rsi,macd,macd_signal,bb_upper,bb_lower,sma_20,sma_50,volume_ratio,momentum_5,momentum_10,prev_day_change,high_52w,low_52w,dist_from_high,dist_from_low,price_to_sma20,price_to_sma50,future_return,signal
2004-11-27,11500.0,11572.0,11495.0,11572.0,59419798,5168,6,11624.0,11572.0,66.91512005255998,198.84234109453791,50.86302566238177,11828.407752916215,9611.492247083786,10719.95,10983.52,0.11470552331065709,0.017229254571026642,0.08453608247422673,-0.004473503097040643,15297.0,1720.0,-0.24351179969928743,5.727906976744186,1.0794826468407035,1.0535784520809357,-0.007172485309367427,0
2004-11-28,11495.0,11569.0,11495.0,11569.0,5070035,441,2,11572.0,11569.0,66.80623276048192,217.45559212873923,84.18153895565328,11936.072389385718,9612.627610614283,10774.35,10974.9,0.009793590639015134,0.016876153643315517,0.08700554354975099,-0.00025924645696506765,15297.0,1720.0,-0.2437079165849513,5.726162790697674,1.073753869142918,1.054132611686667,-0.014953755726510476,0
2004-11-30,10991.0,11509.0,10991.0,11509.0,14579246,1326,5,11569.0,11509.0,64.54406942745612,224.77417237344162,112.30006563921096,12018.475263343802,9647.524736656198,10833.0,10965.46,0.029526737173070996,0.026489475561898068,0.08739606953892665,-0.005186273662373564,15297.0,1720.0,-0.2476302542982284,5.691279069767442,1.0624019200590786,1.0495683719606839,-0.005213311321574432,0
2004-12-01,10934.0,11473.0,10934.0,11146.0,122752316,11069,10,11509.0,11146.0,52.87805505657319,198.98930877742896,129.63791426685458,12042.886106750111,9705.613893249889,10874.25,10948.78,0.24363133729811107,-0.0351454293628809,0.04373068639385713,-0.031540533495525214,15297.0,1720.0,-0.27136039746355495,5.480232558139535,1.0249902292112099,1.018012965828156,0.06414857347927505,1
2004-12-04,11497.0,11500.0,11399.0,11489.0,181253786,15776,16,11146.0,11489.0,60.198504310246506,203.881631501039,144.48665771369147,12078.668422994986,9814.631577005013,10946.65,10939.12,0.3438932570676212,-0.011613902271163101,0.04246438617185366,0.030773371613134648,15297.0,1720.0,-0.24893770020265413,5.679651162790698,1.04954483791845,1.050267297552271,0.035164069979980894,0
2004-12-05,11490.0,11490.0,11489.0,11489.0,5067080,441,2,11489.0,11489.0,60.198504310246506,205.3912104839128,156.66756826773576,12088.993674792888,9952.706325207113,11020.85,10929.54,0.009657857795161434,-0.007172485309367427,0.009933192686357284,0.0,15297.0,1720.0,-0.24893770020265413,5.679651162790698,1.0424785747015883,1.0511878816491818,0.0338584733223084,0
2004-12-06,11369.0,11487.0,11100.0,11396.0,190782263,16740,23,11489.0,11396.0,57.3947196152161,196.81448506611923,164.69695162741246,12057.234853858039,10126.06514614196,11091.65,10919.68,0.3713678493941424,-0.014953755726510476,0.0016700360376198375,-0.008094699277569894,15297.0,1720.0,-0.25501732365823365,5.625581395348838,1.0274395603900233,1.0436203258703551,0.042032292032291974,0
2004-12-07,11501.0,11965.0,11200.0,11449.0,942626301,82329,29,11396.0,11449.0,58.578741829787575,192.0798485129617,170.17353100452232,11995.021622601982,10335.278377398017,11165.15,10911.7,1.6913535101198938,-0.005213311321574432,0.02113806635747406,0.004650754650754596,15297.0,1720.0,-0.25155259201150554,5.65639534883721,1.0254228559401353,1.0492407232603536,0.036859114333129606,0
2004-12-11,11900.0,11950.0,11500.0,11861.0,953048859,80348,15,11449.0,11861.0,66.39656914352719,219.04752815350366,179.9483304343186,12008.296215496533,10486.303784503465,11247.3,10922.64,1.5373238419320059,0.06414857347927505,0.026748614958448824,0.035985675604856215,15297.0,1720.0,-0.224619206380336,5.89593023255814,1.0545642065206762,1.0859096335684413,-0.006744793862237586,0
2004-12-12,11862.0,11965.0,11800.0,11893.0,212302621,17850,14,11861.0,11893.0,66.91882244328589,240.23249051400126,192.00516245025514,12076.908664954277,10534.191335045722,11305.55,10938.26,0.34230616553811105,0.035164069979980894,0.023141775636613904,0.002697917544895123,15297.0,1720.0,-0.22252729293325488,5.91453488372093,1.051961204894941,1.087284449263411,-0.058942234928109016,0
2004-12-13,11765.0,11878.0,11759.0,11878.0,16817994,1430,3,11893.0,11878.0,66.39789427374862,252.89612210112682,204.18335438042948,12117.71897382111,10614.181026178892,11365.95,10957.14,0.02754361955905169,0.0338584733223084,0.0264431386104389,-0.0012612461111578543,15297.0,1720.0,-0.22350787736157415,5.905813953488372,1.0450512275700667,1.0840420036615395,-0.07299208620979958,0
2004-12-14,11700.0,11875.0,11700.0,11875.0,2096050,179,2,11878.0,11875.0,66.28675412209782,259.6964474517099,215.28597299468558,12132.726141116558,10722.37385888344,11427.55,10977.24,0.0034522761396609636,0.042032292032291974,0.026449995678105243,-0.00025256777235227457,15297.0,1720.0,-0.22370399424723802,5.90406976744186,1.0391553745115971,1.0817837634961065,-0.07545263157894733,0
2004-12-15,11500.0,11871.0,11500.0,11871.0,1602210,139,2,11875.0,11871.0,66.12781738709388,261.74574568989556,224.57792753372757,12106.492515411664,10877.307484588335,11491.9,10994.94,0.002805150983720034,0.036859114333129606,0.031453644973499006,-0.0003368421052631909,15297.0,1720.0,-0.22396548342812317,5.901744186046511,1.0329884527362752,1.0796784702781461,-0.05770364754443602,0
2004-12-19,11300.0,11781.0,11300.0,11781.0,22717810,2010,5,11871.0,11781.0,62.49684592666556,253.18897655240835,230.30013733746372,12047.13438194153,11046.86561805847,11547.0,11006.04,0.041094798134582396,-0.006744793862237586,0.05697111071236316,-0.007581501137225222,15297.0,1720.0,-0.22984898999803882,5.849418604651163,1.0202650038971162,1.0704122463665404,-0.05602240896358546,0
2004-12-21,11192.0,11192.0,11192.0,11192.0,335760000,30000,13,11781.0,11192.0,45.05943919520461,196.61385570050334,223.56288101007164,12024.284242401849,11086.81575759815,11555.55,11006.14,0.772242515039423,-0.058942234928109016,-0.025850813821916563,-0.04999575587810878,15297.0,1720.0,-0.2683532718833758,5.506976744186047,0.9685389271821766,1.0168869376548,-0.006433166547534008,0
2004-12-22,11100.0,11100.0,10665.0,11011.0,50612160,4729,5,11192.0,11011.0,41.25052458194286,135.60925838689764,205.97215648543687,12058.105952346972,11016.494047653026,11537.3,11003.66,0.1873531660664551,-0.07299208620979958,-0.04160501349116541,-0.016172265904217276,15297.0,1720.0,-0.2801856573184284,5.401744186046511,0.9543827411959471,1.0006670507812856,-0.0010898192716374266,0
2004-12-25,10807.0,10979.0,10807.0,10979.0,21723790,2010,3,11011.0,10979.0,40.59714281509411,83.71552250430796,181.5208296892111,12089.112655098728,10945.687344901271,11517.4,11000.42,0.07933109285487344,-0.07545263157894733,-0.036591786591786635,-0.002906184724366545,15297.0,1720.0,-0.2822775707655096,5.383139534883721,0.9532533384270756,0.9980528016203017,0.0016394935786501197,0
2004-12-26,11099.0,11290.0,11099.0,11186.0,312852247,27968,18,10979.0,11186.0,46.500417337281256,58.616834590548024,156.9400306694785,12090.69547509534,10941.504524904662,11516.1,11002.68,1.0543856077570932,-0.05770364754443602,-0.02297143855358552,0.01885417615447671,15297.0,1720.0,-0.2687455056547035,5.503488372093023,0.9713357820790024,1.0166613952237091,-0.017879492222420912,0
2004-12-27,11300.0,11430.0,11000.0,11121.0,290327514,26105,15,11186.0,11121.0,44.988544438078044,33.099437112923624,132.17191195816753,12093.937512382463,10895.162487617536,11494.55,11008.64,1.5263047113439432,-0.05602240896358546,-0.06238934322569767,-0.005810834972286738,15297.0,1720.0,-0.27299470484408705,5.465697674418605,0.9675019900735566,1.0102065286901925,-0.05305278302310945,0
2004-12-28,11117.0,11120.0,11117.0,11120.0,11228200,1010,3,11121.0,11120.0,44.964323117467664,12.650200489564668,108.26756966444695,12086.95125485627,10851.74874514373,11469.35,11015.44,0.061760857069477905,-0.006433166547534008,-0.06499621626166652,-8.991997122564932e-05,15297.0,1720.0,-0.27306007713930835,5.465116279069767,0.9695405580961431,1.0094921310451512,-0.05755395683453235,0
2004-12-29,10998.0,11000.0,10998.0,10999.0,290139230,26378,8,11120.0,10999.0,42.016599057307175,-13.16786467676502,83.98048279620457,12088.995025432128,10792.404974567873,11440.7,11020.06,1.5147669390544334,-0.0010898192716374266,-0.07400235729920868,-0.010881294964028787,15297.0,1720.0,-0.28097012486108386,5.394767441860465,0.9613922225038677,0.9980889396246482,-0.047731611964724086,0
2005-01-02,10999.0,11000.0,10566.0,10997.0,13573823,1236,5,10999.0,10997.0,41.967625407454385,-33.4051765344102,60.50335093008162,12085.224327297747,10738.975672702254,11412.1,11023.1,0.07081613301515728,0.0016394935786501197,-0.07393684210526319,-0.00018183471224653136,15297.0,1720.0,-0.28110086945152646,5.393604651162791,0.963626326442986,0.9976322450127459,-0.05637901245794308,0
2005-01-03,10900.0,10998.0,10900.0,10986.0,71564075,6520,9,10997.0,10986.0,41.67987538903023,-49.75742740254282,38.451195263556734,12082.22249694358,10689.677503056422,11385.95,11020.58,0.3680839592736552,-0.017879492222420912,-0.07455142784938085,-0.001000272801673141,15297.0,1720.0,-0.2818199646989606,5.387209302325582,0.9648733746415538,0.9968622341110903,-0.056708538139450204,0
2005-01-04,10567.0,10567.0,10500.0,10531.0,330275010,31360,10,10986.0,10531.0,31.92820761696524,-98.29828004962837,11.101300200919713,12139.856510837735,10570.543489162266,11355.2,11011.04,1.6745070189396567,-0.05305278302310945,-0.10610304727951791,-0.04141634807937378,15297.0,1720.0,-0.31156435902464535,5.122674418604651,0.9274165140200084,0.9564037547770237,-0.06514101224954894,0
2005-01-05,10531.0,10550.0,10300.0,10480.0,417698500,39854,14,10531.0,10480.0,31.05125700851606,-139.2770303566067,-18.97436591058557,12173.72615042074,10435.77384957926,11304.75,11005.06,1.999518357599414,-0.05755395683453235,-0.06361686919228016,-0.004842844934004331,15297.0,1720.0,-0.3148983460809309,5.093023255813954,0.9270439417059201,0.9522892196862172,-0.09026717557251906,0
2005-01-08,10480.0,10480.0,10300.0,10474.0,7041820,679,4,10480.0,10474.0,30.94357655847128,-170.27431871271256,-49.23435647101097,12189.979059594847,10318.020940405153,11254.0,10999.68,0.03404583903688884,-0.047731611964724086,-0.048769412405776036,-0.0005725190839694916,15297.0,1720.0,-0.3152905798522586,5.089534883720931,0.930691309756531,0.9522095188223657,-0.09356501814015661,0
