date,open,high,low,adjClose,value,volume,count,yesterday,close,rsi_14,rsi_7,stoch_k,stoch_d,williams_r,roc_10,roc_20,macd_diff,macd_norm,adx,di_plus,di_minus,di_diff,cci,price_to_sma10,price_to_sma20,price_to_sma50,price_to_ema12,price_to_ema26,sma10_to_sma50,bb_pband,bb_wband,atr_pct,daily_range_pct,volatility_20,volatility_10,volatility_5,vol_ratio_5_20,volume_ratio_20,volume_ratio_5,obv_slope,mfi,avg_trade_value,avg_trade_value_ratio,trade_count_ratio,body_ratio,upper_shadow,lower_shadow,gap_pct,ret_1d,ret_2d,ret_3d,ret_5d,ret_10d,ret_20d,ret_zscore,pct_from_52w_high,pct_from_52w_low,up_streak,down_streak,rsi_14_lag1,rsi_14_lag2,rsi_14_lag3,rsi_14_lag5,macd_diff_lag1,macd_diff_lag2,macd_diff_lag3,macd_diff_lag5,volume_ratio_20_lag1,volume_ratio_20_lag2,volume_ratio_20_lag3,volume_ratio_20_lag5,ret_1d_lag1,ret_1d_lag2,ret_1d_lag3,ret_1d_lag5,adx_lag1,adx_lag2,adx_lag3,adx_lag5,future_return,signal
2013-06-23,5100.0,5141.0,4850.0,5020.0,4655771234,927377,373,5068.0,5069.0,64.62134117167003,67.36016526542414,78.00995024875621,70.61359867330016,-21.99004975124378,15.493278651173387,31.423386051335235,22.222258838342952,0.04637300554285,31.492839897982428,38.94325297913282,17.11724615432068,21.826006824812143,104.96083679981412,1.0420178431936848,1.0850556013399977,1.1924814152630092,1.0543871884649587,1.1085919037097496,1.1443963489225557,0.8605985851809358,23.587336399925082,0.045697562905988434,0.05740777273623989,0.036534192808553086,0.03775961193306405,0.02784802487191726,0.7622455221016327,0.723499392940557,0.8934877253670097,-0.007293519984182151,50.51161098771833,12481960.412868632,0.9692666310680084,0.8175342465753425,0.10652920962199312,0.140893470790378,0.7525773195876289,0.005124162396531336,-0.0009854158454868367,0.04709770708531291,0.07325852212576756,0.04193216855087356,0.1549327865117338,0.31423386051335234,-0.42074717663176764,-0.01323729803387191,0.4692753623188406,0,1,64.7938487703282,60.195933798725505,57.59135063034735,61.876777319931676,19.960794009909108,11.159107748459775,16.96424848442072,51.52739132781687,1.4645897570765356,0.47522902091128494,0.9460257444435968,0.550184636046383,0.048130551538938304,0.02498412026254493,-0.007773109243697451,-0.052949192135487655,30.920523636474314,30.48359237197516,30.699146551767942,30.316457994404765,0.21593625498007962,1
2013-06-25,5199.0,5271.0,5025.0,5222.0,8799674233,1685003,747,5020.0,5271.0,68.29401037661376,73.87569287714204,98.1094527363184,84.87562189054727,-1.890547263681592,15.187937062937063,31.11940298507463,33.42549724177081,0.04830665486825597,32.33564321621605,39.99145757741894,15.826639004452803,24.16481857296614,147.29186157757593,1.0682799294704202,1.1133876895779646,1.231979581533629,1.080380947182615,1.1398703108360195,1.1532366634879678,1.011986080930586,22.14663519208787,0.044140882765752225,0.0466704610130905,0.036441244125562454,0.0375463319586141,0.024588561623854317,0.6747453939588789,1.237635101678153,1.3645123444013307,0.040804065844948,64.41725133003729,11780019.053547524,0.9150524679947968,1.518138400569048,0.2926829268292683,0.0,0.7073170731707317,0.025646084040244623,0.03985006904714927,0.038825384312179745,0.0888246230117744,0.10735294117647065,0.15187937062937062,0.3111940298507463,0.702071644457431,0.0,0.5278260869565218,1,0,64.62134117167003,64.7938487703282,60.195933798725505,58.70990526808595,22.222258838342952,19.960794009909108,11.159107748459775,33.91988455105593,0.723499392940557,1.4645897570765356,0.47522902091128494,0.5826185532881559,-0.0009854158454868367,0.048130551538938304,0.02498412026254493,-0.021582733812949617,31.492839897982428,30.920523636474314,30.48359237197516,31.07526754538359,0.14841057066258134,1
2013-06-26,5483.0,5483.0,5480.0,5483.0,5117097000,933270,270,5222.0,5483.0,71.62343677511289,79.00680456935932,100.0,92.03980099502486,-0.0,14.348279457768509,29.89812840559109,50.20796699016253,0.05178895482518869,33.56947160735416,43.91596250603414,14.791590988472064,29.124371517562075,213.44296728912113,1.0959643406824042,1.1429345673608071,1.2719334873664967,1.1028236384977905,1.1696257408338335,1.1605610147630578,1.1076386975444161,23.522953350145887,0.04216494762718063,0.0005471457231442641,0.03599943579580769,0.03687230158344719,0.019458148730407916,0.5405126024967846,0.6652473127293209,0.7832791015626639,0.08487878072996646,71.40303113184854,18952211.111111112,1.4195917990835938,0.5365659777424483,0.0,0.0,1.0,0.040220072092582056,0.04022007209258205,0.0816729137897021,0.08060701616081989,0.16091467287740846,0.1434827945776851,0.29898128405591096,0.7345493907210475,0.0,0.5892753623188406,2,0,68.29401037661376,64.62134117167003,64.7938487703282,57.59135063034735,33.42549724177081,22.222258838342952,19.960794009909108,16.96424848442072,1.237635101678153,0.723499392940557,1.4645897570765356,0.9460257444435968,0.03985006904714927,-0.0009854158454868367,0.048130551538938304,-0.007773109243697451,32.33564321621605,31.492839897982428,30.920523636474314,30.699146551767942,0.09793908444282318,1
2013-06-30,6044.0,6044.0,5760.0,6014.0,13917889509,2314249,737,5757.0,6044.0,78.35552545698862,87.3388217999814,100.0,100.0,-0.0,17.656219583414444,30.17445617057937,100.18430819308736,0.06243278116051868,37.12066235089279,53.01693534804095,12.391302530447971,40.62563281759298,221.86744597178645,1.1648389770077283,1.2250689151937733,1.3793984873174763,1.153664707561457,1.2432086722970834,1.1841967126314012,1.1599920130769443,34.10176346596695,0.039380578922030535,0.04698874917273329,0.036112931100353955,0.03586908016179007,0.02113904994470787,0.5853595734437818,2.0113892876276194,1.821235174545114,0.0886493658997054,83.67452047830632,18884517.65128901,1.3379873412034475,1.7402597402597402,0.0,0.0,1.0,0.049852353656418276,0.04985235365641838,0.1023162502279773,0.14665148928097138,0.19117067402443833,0.17656219583414434,0.30174456170579367,0.9958820058454346,0.0,0.7518840579710145,4,0,75.24205004528012,71.62343677511289,68.29401037661376,64.7938487703282,73.44988710587444,50.20796699016253,33.42549724177081,19.960794009909108,0.4371436422856877,0.6652473127293209,1.237635101678153,1.4645897570765356,0.04997264271384272,0.04022007209258205,0.03985006904714927,0.048130551538938304,35.198337836519606,33.56947160735416,32.33564321621605,30.920523636474314,0.10359161955437313,1
2013-07-01,6299.0,6299.0,6050.0,6104.0,3454413740,565933,315,6014.0,6062.0,78.53782258718664,87.5378579535973,86.4027538726334,95.46758462421114,-13.59724612736661,24.60431654676259,25.40339263549855,110.31100682779498,0.06846720219000846,39.20816844568411,56.58985673228546,11.448981076586943,45.14087565569852,206.41559555183778,1.1419636802049582,1.2136136136136135,1.3720147024208298,1.1297941620844116,1.2245151148835547,1.2014521356533705,1.0487334668481716,38.928482864471995,0.0394637654600295,0.041075552622896735,0.035601923904571633,0.027025487873635564,0.019419997586009086,0.545476071407348,0.48609162434549164,0.47223489174277145,0.12027336736609118,83.77665303255557,10966392.825396825,0.8032216197327052,0.7228915662650602,0.9518072289156626,0.0,0.04819277108433735,0.04219060225016545,0.0029781601588352302,0.052978982108737194,0.10559912456684306,0.19589662655356088,0.24604316546762584,0.25403392635498556,-0.2528521626962111,0.0,0.7571014492753623,5,0,78.35552545698862,75.24205004528012,71.62343677511289,64.62134117167003,100.18430819308736,73.44988710587444,50.20796699016253,22.222258838342952,2.0113892876276194,0.4371436422856877,0.6652473127293209,0.723499392940557,0.04985235365641838,0.04997264271384272,0.04022007209258205,-0.0009854158454868367,37.12066235089279,35.198337836519606,33.56947160735416,31.492839897982428,0.14089121887287015,1
2013-07-02,6110.0,6160.0,5901.0,5997.0,3288986205,548427,284,6104.0,6000.0,76.1584909320689,82.33650583229513,82.84566838783707,89.7494740868235,-17.154331612162938,26.05042016806723,28.4796573875803,104.14061429471934,0.07248549011940592,40.36580083869467,52.24411638844407,14.987629595519861,37.25648679292421,152.5051722351009,1.104484205875856,1.1854193420922652,1.3465897614291806,1.0982609781360166,1.1932534839181344,1.2192023699979802,0.9457058188563419,41.601283682596204,0.04010692262908434,0.043166666666666666,0.0343665525695465,0.025137050927359406,0.02822550855443778,0.8213075343335272,0.5410770632801093,0.5647488052196532,0.07297562039764571,78.87857978442332,11580937.341549296,0.8537806971289827,0.734514418724945,0.4247104247104247,0.19305019305019305,0.38223938223938225,0.00791817881887166,-0.010227647641042559,-0.007279947054930513,0.04220948410630543,0.13830392714854867,0.26050420168067223,0.2847965738758029,-0.6806841208520784,-0.01022764764104256,0.7391304347826086,0,1,78.53782258718664,78.35552545698862,75.24205004528012,68.29401037661376,110.31100682779498,100.18430819308736,73.44988710587444,33.42549724177081,0.48609162434549164,2.0113892876276194,0.4371436422856877,1.237635101678153,0.0029781601588352302,0.04985235365641838,0.04997264271384272,0.03985006904714927,39.20816844568411,37.12066235089279,35.198337836519606,32.33564321621605,0.14924128731032194,1
2013-07-03,6000.0,6296.0,6000.0,6020.0,23934859070,3975763,874,5997.0,6296.0,79.3716058078447,86.7286930644821,99.82788296041308,89.69210174029452,-0.1721170395869191,33.30510268896887,39.60088691796009,110.68834903873972,0.07451282762391055,41.63396525359625,51.70024725855844,13.693395160046176,38.00685209851227,147.78434550812372,1.1263574073742777,1.2223343946571406,1.399123547764869,1.126033449120691,1.2291652521289993,1.242166597036418,0.9982882592261036,44.61963342312146,0.03884938243179999,0.04701397712833545,0.03336371819182394,0.023634292497618194,0.029589484098011282,0.8868760948011615,3.577557908422016,2.5169467211142886,0.12969683613843697,83.1954187648638,27385422.27688787,1.9182998460588216,2.2093023255813953,1.0,0.0,0.0,0.0,0.04933333333333323,0.038601121741999256,0.041694242223693,0.1482764909720955,0.3330510268896887,0.3960088691796009,0.9587805952194083,0.0,0.8249275362318841,1,0,76.1584909320689,78.53782258718664,78.35552545698862,71.62343677511289,104.14061429471934,110.31100682779498,100.18430819308736,50.20796699016253,0.5410770632801093,0.48609162434549164,2.0113892876276194,0.6652473127293209,-0.010227647641042559,0.0029781601588352302,0.04985235365641838,0.04022007209258205,40.36580083869467,39.20816844568411,37.12066235089279,33.56947160735416,0.09053156146179409,1
2013-07-08,6968.0,6968.0,6701.0,6964.0,4418238802,634441,196,6637.0,6968.0,84.91356855663791,92.73749764817495,100.0,100.0,-0.0,37.463010455711185,58.760537707906124,133.07389902062863,0.08333443555860057,46.15746742951173,60.90283271139404,11.084383064801045,49.818449646592995,150.67088177808736,1.1453179703808414,1.2728684294652235,1.4964478691510108,1.1575504260341931,1.2811334406068546,1.3065785291515262,1.0269878915784916,51.77888027899432,0.034727150166900846,0.038318025258323764,0.03201505931109828,0.023856469128195234,0.02938610156858506,0.9178837147553911,0.6113589590918013,0.5835814129925674,0.07774064671030168,90.34696562145388,22542034.704081632,1.491878121556366,0.5407642433439095,0.0,0.0,1.0,0.04987193008889559,0.04987193008889568,0.1023572219585509,0.10673443456162635,0.14945562520620248,0.3746301045571119,0.5876053770790612,0.812382370305182,0.0,1.0197101449275363,4,0,82.50526443563606,79.6214099444527,79.3716058078447,78.53782258718664,116.23278959849091,107.31744846207641,110.68834903873972,110.31100682779498,0.2513987738960005,0.009751511627541098,3.577557908422016,0.48609162434549164,0.04999208985919945,0.00397077509529864,0.04933333333333323,0.0029781601588352302,44.38461268959578,42.84704988512656,41.63396525359625,39.20816844568411,-0.0931935669155658,0
2013-07-09,7000.0,7250.0,6616.0,6892.0,5121632302,743125,505,6964.0,6630.0,73.74918917223815,72.00870650115364,75.68627450980392,91.89542483660131,-24.313725490196077,25.782583949914628,44.88636363636363,111.00256824411872,0.08843946580042965,48.0471046458275,58.14988711941324,9.226374386388207,48.923512733025035,127.33916361047304,1.0659506736551014,1.1888218470669452,1.4094507606357196,1.0844825651584704,1.1995308377935237,1.3222476381601884,0.8657661218074827,51.62365670550804,0.040721010242604466,0.09562594268476621,0.03550053885630209,0.03474357001763253,0.04358373044974581,1.2276920816938188,0.7134280234527612,0.659915935701077,0.07498907744316718,90.6682474408066,10141846.142574258,0.6796202824708919,1.340411413404114,0.583596214511041,0.3943217665615142,0.022082018927444796,0.004592422502870264,-0.04850746268656714,-0.0010546933855657414,0.048884670147128606,0.10499999999999998,0.25782583949914617,0.44886363636363646,-1.9102590057150213,-0.048507462686567165,0.9217391304347826,0,1,84.91356855663791,82.50526443563606,79.6214099444527,76.1584909320689,133.07389902062863,116.23278959849091,107.31744846207641,104.14061429471934,0.6113589590918013,0.2513987738960005,0.009751511627541098,0.5410770632801093,0.04987193008889568,0.04999208985919945,0.00397077509529864,-0.010227647641042559,46.15746742951173,44.38461268959578,42.84704988512656,40.36580083869467,-0.038015089959373194,0
2013-07-10,6989.0,6989.0,6548.0,6565.0,3613371962,550429,341,6892.0,6548.0,71.29996440863624,67.72414783699631,70.75,82.14542483660131,-29.25,19.423673171621374,36.558915537017725,81.78301407156943,0.08820706438640678,49.45735962187057,51.6628207449203,9.917265224981255,41.745555519939046,101.42398172570483,1.0350441806427138,1.15595099389189,1.3781433370095049,1.0594854632081145,1.1687058163237192,1.331482619566773,0.8042399687817959,51.25920651265239,0.043096516633324006,0.0673488087965791,0.035505620582035644,0.03593246496064415,0.042246381616528175,1.1898505341969174,0.5435834095114875,1.248071531772903,-0.00644819454097767,86.70305148401832,10596398.715542521,0.7062393307789229,0.9375859224635689,1.0,0.0,0.0,0.054147812971342385,-0.012368024132729971,-0.06027554535017221,-0.013409673045050474,0.04002541296060991,0.1942367317162137,0.36558915537017733,-0.8073218900896182,-0.06027554535017222,0.8979710144927536,0,2,73.74918917223815,84.91356855663791,82.50526443563606,79.3716058078447,111.00256824411872,133.07389902062863,116.23278959849091,110.68834903873972,0.7134280234527612,0.6113589590918013,0.2513987738960005,3.577557908422016,-0.04850746268656714,0.04987193008889568,0.04999208985919945,0.04933333333333323,48.0471046458275,46.15746742951173,44.38461268959578,41.63396525359625,0.06031987814166029,1
